,Name,Salary
0,Nicholas,"$51679,38536783932"
1,Rodney,"$33864,12215982051"
2,Ryan,"$41331,531247461346"
3,Paul,-
4,Shannon,"$49049,494766370386"
5,Angela,"$61094,53506170547"
6,Troy,"$39264,41406492206"
7,Rebecca,"$43077,081275678596"
8,Heather,-
9,Jason,"$30128,55161023814"
10,Brent,-
11,Jeffrey,"$66936,19534362614"
12,Brandi,"$91609,91437692374"
13,April,"$81267,5366605066"
14,Gary,"$53801,62521325564"
15,Patricia,"$35790,65592366047"
16,Lisa,"$46924,66532727766"
17,Alan,"$57644,35611478907"
18,Christian,"$56368,808128117715"
19,Hector,"$32125,613379306204"
20,Tonya,"$40209,14735541511"
21,Emily,"$97479,63502151481"
22,Daniel,"$73399,27227335496"
23,Brittany,"$33333,58244326192"
24,Lori,-
25,William,"$44042,726376859064"
26,Jonathan,"$35033,89048527651"
27,Erika,"$43874,12804779204"
28,Valerie,"$37001,302625331184"
29,Stephanie,"$33630,3602588948"
30,Jennifer,"$41909,86392931731"
31,Caleb,"$83120,91929781839"
32,David,"$44463,916903857906"
33,Benjamin,"$33713,83198364827"
34,Bethany,"$34484,87758213804"
35,Kathy,"$32029,285887199432"
36,Brittney,"$65457,87803638216"
37,Catherine,"$63705,89504353842"
38,Misty,"$39976,92512786814"
39,Julie,"$50459,76078692153"
40,Gary,"$39395,78726947623"
41,Robin,"$50413,14690128016"
42,Pamela,"$69813,38267412546"
43,Denise,-
44,Alexis,"$33878,061419471174"
45,Donald,"$37448,56250847406"
46,Anthony,"$37209,243755890086"
47,Robert,"$49230,88460683428"
48,Michelle,"$78792,35869906092"
49,Patricia,"$101039,5112077648"
50,Matthew,-
51,Jeffrey,"$55430,63543538518"
52,Lori,"$39307,10766727656"
53,Lauren,"$52293,69697266944"
54,Jill,"$92842,25367205494"
55,Samantha,"$68362,08748051536"
56,Dean,"$34828,24090072054"
57,Oscar,"$46491,321153890145"
58,Amanda,"$59551,85810484447"
59,Ebony,"$32537,18362996266"
60,Lucas,"$45155,86514550116"
61,Robin,"$58312,96909278183"
62,Mercedes,"$60692,981862567394"
63,David,"$51294,388534816855"
64,Nicole,"$32144,432423883263"
65,James,"$33085,04743398945"
66,Douglas,"$42019,69735034102"
67,Steven,"$48349,142976016024"
68,Tracy,"$34298,38013452503"
69,Lisa,"$40531,271763372315"
70,Jessica,"$30299,145985656385"
71,Melissa,"$56156,96209100992"
72,Kathy,"$33490,00980356983"
73,Robert,"$63161,768501982595"
74,Katelyn,-
75,Gabriel,"$56241,670397239155"
76,Andrew,"$36548,86905401708"
77,Matthew,"$58569,03971072688"
78,Latoya,"$32046,678821644775"
79,David,-
80,Gabriel,"$80798,20863680754"
81,Barbara,-
82,Daniel,"$34288,00990859412"
83,Bonnie,"$69329,9175381627"
84,Carly,"$46627,3124390874"
85,Anthony,"$35572,43701407399"
86,Elijah,"$46771,97609698352"
87,Jessica,"$33364,773409838504"
88,Monique,"$39292,211847821745"
89,Tamara,"$80575,36717032199"
90,Sophia,"$46070,76416292942"
91,Andrea,-
92,Bobby,"$41678,95705585085"
93,Marcus,"$30656,57194971641"
94,Valerie,"$46187,25929335132"
95,Michael,"$96248,63217569767"
96,Thomas,"$110930,81401603427"
97,Gregory,"$68266,64395700276"
98,Zachary,"$53788,50217178039"
99,Kathleen,"$82577,15577850482"
